kof97.zip|KOF 97|拳皇97
actfancr.zip|Act-FancerCybernetickHyperWeapon(Worldrevision3)|战斗机器(世界版修正版3)
actfancr1.zip|Act-FancerCybernetickHyperWeapon(Worldrevision1)|战斗机器(世界版修正版1)
actfancrj.zip|Act-FancerCybernetickHyperWeapon(Japanrevision1)|战斗机器(日版修正版1)
ad2083.zip|A.D.2083|太空核战2083
aeroboto.zip|Aeroboto|飞行机器人
aerofgt.zip|AeroFighters|四国战机
aerofgtb.zip|AeroFighters(TurboForcehardwareset1)|四国战机(涡轮力量硬件第1套)
aerofgtc.zip|AeroFighters(TurboForcehardwareset2)|四国战机(涡轮力量硬件第2套)
afighter.zip|ActionFighter-FD1089A317-0018|战斗任务(FD1089A317-0018)
agallet.zip|AirGallet(Europe)|石破天惊(欧版)
agalleta.zip|AirGallet(older-Europe)|石破天惊(较旧版-欧版)
agalletah.zip|AirGallet(older-HongKong)|石破天惊(较旧版-香港版)
agalletaj.zip|AkuuGallet(older-Japan)|石破天惊(较旧版-日版)
agalletak.zip|AirGallet(older-Korea)|石破天惊(较旧版-韩版)
agalletat.zip|AirGallet(older-Taiwan)|石破天惊(较旧版-台湾版)
agalletau.zip|AirGallet(older-USA)|石破天惊(较旧版-美版)
agalleth.zip|AirGallet(HongKong)|石破天惊(香港版)
agalletj.zip|AkuuGallet(Japan)|石破天惊(日版)
agalletk.zip|AirGallet(Korea)|石破天惊(韩版)
agallett.zip|AirGallet(Taiwan)|石破天惊(台湾版)
agalletu.zip|AirGallet(USA)|石破天惊(美版)
agentx1.zip|AgentX(prototype-rev1)|X探员(工程版-修正版1)
agentx2.zip|AgentX(prototype-rev2)|X探员(工程版-修正版2)
agentx3.zip|AgentX(prototype-rev3)|X探员(工程版-修正版3)
agentx4.zip|AgentX(prototype-rev4)|X探员(工程版-修正版4)
agress.zip|Agress|阿古雷司-导弹大战略
agressb.zip|Agress(Englishbootleg)|阿古雷司-导弹大战略(英文A版)
airattck.zip|AirAttack(set1)|空袭(第1套)
airattcka.zip|AirAttack(set2)|空袭(第2套)
airbustr.zip|AirBuster:TroubleSpecialtyRaidUnit(World)|疾风战机-特别袭击队(世界版)
airbustrb.zip|AirBuster:TroubleSpecialtyRaidUnit(bootleg)|疾风战机-特别袭击队(A版)
airbustrj.zip|AirBuster:TroubleSpecialtyRaidUnit(Japan)|疾风战机-特别袭击队(日版)
airduelm72.zip|AirDuel(Japan-M72)|空战双鹰(日版-M72)
airwolf.zip|Airwolf|飞狼
airwolfa.zip|Airwolf(US)|飞狼(美版)
ajax.zip|Ajax|飓风直升机
ajaxj.zip|Ajax(Japan)|飓风直升机(日版)
akumajou.zip|Akuma-JouDracula(Japanver.P)|恶魔城(日版版本P)
akumajoun.zip|Akuma-JouDracula(Japanver.N)|恶魔城(日版版本N)
alcon.zip|Alcon(US)|爱尔康战机
alexkidd.zip|AlexKidd:TheLostStars(set2-unprotected)|亚历克斯-失落的星星(第2套-无保护版)
alexkidd1.zip|AlexKidd:TheLostStars(set1-FD1089A317-unknown)|亚历克斯-失落的星星(第1套-FD1089A317-未知)
alibaba.zip|AliBabaand40Thieves|阿里巴巴与四十大盗
alibabab.zip|Mustafaand40Thieves(bootleg)|穆斯塔法与四十大盗(A版)
aliencha.zip|AlienChallenge(World)|星宿会战(世界版)
alienchac.zip|AlienChallenge(China)|星宿会战(中国版)
aliens.zip|Aliens(Worldset1)|异形(世界版第1套)
aliens2.zip|Aliens(Worldset2)|异形(世界版第2套)
aliens3.zip|Aliens(Worldset3)|异形(世界版第3套)
aliensa.zip|Aliens(Asia)|异形(亚洲版)
aliensec.zip|AlienSector|异形区域
aliensj.zip|Aliens(Japanset1)|异形(日版第1套)
aliensj2.zip|Aliens(Japanset2)|异形(日版第2套)
aliensu.zip|Aliens(US)|异形(美版)
aliensyn.zip|AlienSyndrome(set4-System16B-unprotected)|异形入侵(第4套-系统16B-无保护版)
aliensyn2.zip|AlienSyndrome(set2-System16A-FD1089A317-0033)|异形入侵(第2套-系统16A-FD1089A317-0033)
aliensyn3.zip|AlienSyndrome(set3-System16B-FD1089A317-0033)|异形入侵(第3套-系统16B-FD1089A317-0033)
aliensyn5.zip|AlienSyndrome(set5-System16A-FD1089B317-0037)|异形入侵(第5套-系统16A-FD1089B317-0037)
aliensyn7.zip|AlienSyndrome(set7-System16B-MC-8123B317-00xx)|异形入侵(第7套-系统16B-MC-8123B317-00xx)
aliensynj.zip|AlienSyndrome(set6-Japan-new-System16B-FD1089A|异形入侵(第6套-日版-新版-系统16B-FD1089A317-0033)
aliensynjo.zip|AlienSyndrome(set1-Japan-old-System16A-FD1089A|异形入侵(第1套-日版-旧版-系统16A-FD1089A317-0033)
aligator.zip|AlligatorHunt(World-protected)|鳄鱼猎人(世界版-保护版)
aligators.zip|AlligatorHunt(Spain-protected)|鳄鱼猎人(西班牙版-保护版)
aligatorun.zip|AlligatorHunt(unprotected-set1)|鳄鱼猎人(无保护版-第1套)
aligatoruna.zip|AlligatorHunt(unprotected-set2)|鳄鱼猎人(无保护版-第2套)
alpham2.zip|AlphaMissionII/ASOII-LastGuardian(NGM-007)(NG|阿尔法任务II-最后的守护神(NGM-007)(NGH-007)
