kof97.zip|KOF 97|拳皇97
skyrobo.zip|SkyRobo|空中机器人
skyskipr.zip|SkySkipper|飞行队长
skysmash.zip|SkySmasher|空中打击
skysoldr.zip|SkySoldiers(US)|空中骑士(美版)
skysoldrbl.zip|SkySoldiers(bootleg)|空中骑士(A版)
skywolf.zip|SkyWolf(set1)|飞狼(第1套)
skywolf2.zip|SkyWolf(set2)|飞狼(第2套)
skywolf3.zip|SkyWolf(set3)|飞狼(第3套)
slammast.zip|SaturdayNightSlamMasters(SlamMasters930713etc)|摔角霸王(摔角霸王930713世界版)
slammastu.zip|SaturdayNightSlamMasters(slammasters930713USA)|摔角霸王(摔角霸王930713美版)
slapfighb1.zip|SlapFight(bootlegset1)|电子作战(A版第1套)
slapfighb2.zip|SlapFight(bootlegset2)|电子作战(A版第2套)
slapfighb3.zip|SlapFight(bootlegset3)|电子作战(A版第3套)
slyspy.zip|SlySpy(USrevision4)|狡猾间谍(美版修正版4)
slyspy2.zip|SlySpy(USrevision2)|狡猾间谍(美版修正版2)
slyspy3.zip|SlySpy(USrevision3)|狡猾间谍(美版修正版3)
smbomb.zip|SuperMuscleBomber-theinternationalblowout(94083|超级肌肉爆弹-劲爆国际(940831日版)
smbombr1.zip|SuperMuscleBomber-theinternationalblowout(94080|超级肌肉爆弹-劲爆国际(940808日版)
smooncrs.zip|SuperMoonCresta|超级月球登陆艇
snapjack.zip|SnapJack|外星小精灵
snapper.zip|Snapper(Korea)|贪食蛇-鳄龟(韩版)
sngkace.zip|SengokuAce(Japan-set1)|战国之刃(日版-第1套)
sngkacea.zip|SengokuAce(Japan-set2)|战国之刃(日版-第2套)
snowboar.zip|SnowBoardChampionship(Version2.1)|滑雪板锦标赛(版本2.1)
snowboara.zip|SnowBoardChampionship(Version2.0)|滑雪板锦标赛(版本2.0)
snowbro2.zip|SnowBros.2-withnewelves|雪人兄弟2新的恶作剧
snowbro3.zip|SnowBrothers3-MagicalAdventure|雪人兄弟3-不可思议的冒险
snowbros.zip|SnowBros.-Nick&Tom(set1)|雪人兄弟-尼克和汤姆(第1套)
snowbrosa.zip|SnowBros.-Nick&Tom(set2)|雪人兄弟-尼克和汤姆(第2套)
snowbrosb.zip|SnowBros.-Nick&Tom(set3)|雪人兄弟-尼克和汤姆(第3套)
snowbrosc.zip|SnowBros.-Nick&Tom(set4)|雪人兄弟-尼克和汤姆(第4套)
snowbrosd.zip|SnowBros.-Nick&Tom(Dooyonglicense)|雪人兄弟-尼克和汤姆(Dooyong授权)
snowbrosj.zip|SnowBros.-Nick&Tom(Japan)|雪人兄弟-尼克和汤姆(日版)
snowbroswb.zip|SnowBros.-Nick&Tom(TheWinterBobblehardwarebo|雪人兄弟-尼克和汤姆(冬季雪球硬件A版)
socbrawl.zip|SoccerBrawl(NGM-031)|机器人足球(NGM-031)
socbrawlh.zip|SoccerBrawl(NGH-031)|机器人足球(NGH-031)
sokonuke.zip|SokonukeTaisenGame(Japan)|心愿猫咪对战游戏(日版)
soldam.zip|Soldam|苏登益智方块
soldamj.zip|Soldam(Japan)|苏登益智方块(日版)
solfigtr.zip|SolitaryFighter(World)|沉默战士(世界版)
solomon.zip|Solomon'sKey(US)|所罗门之钥(美版)
solomonj.zip|Solomon'sKey(Japan)|所罗门之钥(日版)
solrwarr.zip|Solar-Warrior(US)|太阳战士(美版)
sonicwi.zip|SonicWings(Japan)|音速之翼(日版)
sonicwi2.zip|AeroFighters2/SonicWings2|四国战机2/音速战机2
sonicwi3.zip|AeroFighters3/SonicWings3|四国战机3/音速战机3
sonofphx.zip|SonofPhoenix|凤凰之子
sonson.zip|SonSon|西游记
sonsonj.zip|SonSon(Japan)|西游记(日版)
sos.zip|SOS|紧急求救
sotsugyo.zip|SotsugyoShousho|卒业证书
soukobdx.zip|SoukoBanDeluxe(Japan-SB1)|仓库番豪华版(日版-SB1)
spacbat2.zip|SpaceBattle(bootlegset2)|太空战斗(A版第2套)
spacbatt.zip|SpaceBattle(bootlegset1)|太空战斗(A版第1套)
spacecho.zip|SpaceEcho(set1)|太空回声(第1套)
spacecho2.zip|SpaceEcho(set2)|太空回声(第2套)
spacedx.zip|SpaceInvadersDX(US-v2.1)|太空侵略者DX(美版v2.1)
spacedxj.zip|SpaceInvadersDX(Japan-v2.1)|太空侵略者DX(日版v2.1)
spacedxo.zip|SpaceInvadersDX(Japan-v2.0)|太空侵略者DX(日版v2.0)
spacegun.zip|SpaceGun(World)|太空神枪(世界版)
spacegunj.zip|SpaceGun(Japan)|太空神枪(日版)
spacegunu.zip|SpaceGun(US)|太空神枪(美版)
spacempr.zip|SpaceEmpire(bootleg)|太空帝国(A版)
spaceplt.zip|SpacePilot|太空飞行员
spang.zip|SuperPang(World900914)|超级魔鬼气泡(世界版900914)
spangj.zip|SuperPang(Japan901023)|超级魔鬼气泡(日版901023)
sparkman.zip|SparkMan(v2.0-set1)|闪电人(v2.0-第1套)
spartanx.zip|SpartanX(Japan)|成龙踢馆(日版)
spatter.zip|Spatter|三轮车物语
spcdrag.zip|SpaceDragon(MoonCrestabootleg-set1)|宇宙龙(月球登陆艇A版-第1套)
spcdraga.zip|SpaceDragon(MoonCrestabootleg-set2)|宇宙龙(月球登陆艇A版-第2套)
spcpostn.zip|SpacePosition(Japan)|太空赛车(日版)
spctbird.zip|SpaceThunderbird|宇宙雷鸟
spdcoin.zip|SpeedCoin(prototype)|快速硬币(工程版)
speakres.zip|Speak&Rescue|呼叫与求援
speakresb.zip|Speak&Rescue(bootleg)|呼叫与求援(A版)
spec2k.zip|Spectrum2000(vertical)|光普2000(竖版)
spec2kh.zip|Spectrum2000(horizontal-buggy)(Europe)|光普2000(横版-小型版)(欧版)
speedspn.zip|SpeedSpin|真实乒乓球
spelunk2.zip|SpelunkerII-23noKagi(Japan)|洞穴探险II-23之键(日版)
spelunkr.zip|Spelunker|洞穴探险
spelunkrj.zip|Spelunker(Japan)|洞穴探险(日版)
spf2t.zip|SuperPuzzleFighterIITurbo(SuperPuzzleFighter2|超级街霸方块II加速版(960529欧版)
spf2ta.zip|SuperPuzzleFighterIITurbo(SuperPuzzleFighter2|超级街霸方块II加速版(960529亚洲版)
spf2td.zip|SuperPuzzleFighterIITurbo(SuperPuzzleFighter2|超级街霸方块II加速版(960620美版凤凰版)
spf2th.zip|SuperPuzzleFighterIITurbo(SuperPuzzleFighter2|超级街霸方块II加速版(960531西班牙版)
spf2tu.zip|SuperPuzzleFighterIITurbo(SuperPuzzleFighter2|超级街霸方块II加速版(960620美版)
spf2xj.zip|SuperPuzzleFighterIIX(SuperPuzzleFighter2X96|超级街霸方块IIX(960531日版)
spf2xjd.zip|SuperPuzzleFighterIIX(SuperPuzzleFighter2X96|超级街霸方块IIX(960531日版凤凰版)
spinmast.zip|SpinMaster/MiracleAdventure|回旋球大师/强尼大冒险
splatter.zip|SplatterHouse(World-newversion(SH3))|鬼屋(世界版-新版(SH3))
splatter2.zip|SplatterHouse(World-oldversion(SH2))|鬼屋(世界版-旧版(SH2))
splatterj.zip|SplatterHouse(Japan-SH1)|鬼屋(日版-SH1)
spnchout.zip|SuperPunch-Out!!(RevB)|超级拳无虚发!!(修正版B)
spnchouta.zip|SuperPunch-Out!!(RevA)|超级拳无虚发!!(修正版A)
spnchoutj.zip|SuperPunch-Out!!(Japan)|超级拳无虚发!!(日版)
sprcros2.zip|SuperCrossII(Japan-set1)|超级摩托越野赛(日版-第1套)
sprcros2a.zip|SuperCrossII(Japan-set2)|超级摩托越野赛(日版-第2套)
sprglbpg.zip|SuperGlob(Pac-Manhardware)German|超级水滴(吃豆小精灵硬件)德国版
sprglobp.zip|SuperGlob(Pac-Manhardware)|超级水滴(吃豆小精灵硬件)
springer.zip|Springer|跳跃者
spy.zip|S.P.Y.-SpecialProjectY(Worldver.N)|S.P.Y.-特别计划Y(世界版版本N)
spyu.zip|S.P.Y.-SpecialProjectY(USver.M)|S.P.Y.-特别计划Y(美版版本M)
sqbert.zip|Faster-Harder-MoreChallengingQ*bert(prototype)|越快-越难-越多挑战Q伯特(工程版)
squash.zip|Squash(Ver.1.0)|壁球(版本1.0)
sraider.zip|SpaceRaider|太空雷达
sranger.zip|SuperRanger(v2.0)|超级别动队(v2.0)
srdarwin.zip|SuperRealDarwin(World)|超级达文战机(世界版)
srdarwinj.zip|SuperRealDarwin(Japan)|超级达文战机(日版)
srdmissn.zip|S.R.D.Mission|S.R.D.任务
srumbler.zip|TheSpeedRumbler(set1)|高速追击令(第1套)
srumbler2.zip|TheSpeedRumbler(set2)|高速追击令(第2套)
srumbler3.zip|TheSpeedRumbler(set3)|高速追击令(第3套)
ssanchan.zip|SanrinSanChan(Japan)|三轮车物语(日版)
sscandal.zip|SeishunScandal(315-5132-Japan)|青春的怒吼(315-5132-日版)
ssf2.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2931005世界版)
ssf2a.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2931005亚洲版)
ssf2ar1.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930914亚洲版)
ssf2d.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930911世界版凤凰版)
ssf2h.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930911西班牙版)
ssf2j.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2931005日版)
ssf2jr1.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930911日版)
ssf2jr2.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930910日版)
ssf2r1.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930911世界版)
ssf2t.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940223世界版)
ssf2ta.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940223亚洲版)
ssf2tad.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940223亚洲版凤凰版)
ssf2td.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940223世界版凤凰版)
ssf2th.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940223西班牙版)
ssf2tu.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940323美版)
ssf2tur1.zip|SuperStreetFighterIITurbo(superstreetfighter2|超级街头霸王II加速版(超级街霸2X940223美版)
ssf2u.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930911美版)
ssf2ud.zip|SuperStreetFighterII-thenewchallengers(supers|超级街头霸王II-新的挑战者(超级街霸2930911美版凤凰版)
ssf2xj.zip|SuperStreetFighterIIX-grandmasterchallenge(su|超级街头霸王IIX-向最强挑战(超级街霸2X940311日版)
ssf2xjr1.zip|SuperStreetFighterIIX-grandmasterchallenge(su|超级街头霸王IIX-向最强挑战(超级街霸2X940223日版)
ssf2xjr1d.zip|SuperStreetFighterIIX-grandmasterchallenge(su|超级街头霸王IIX-向最强挑战(超级街霸2X940223日版凤凰版)
ssf2xjr1r.zip|SuperStreetFighterIIX-grandmasterchallenge(su|超级街头霸王IIX-向最强挑战(超级街霸2X940223日版租赁版)
ssi.zip|SuperSpaceInvaders'91(World)|超级太空侵略者'91(世界版)
ssideki.zip|SuperSidekicks/TokutenOu|超级伙伴/得点王
ssideki2.zip|SuperSidekicks2-TheWorldChampionship/TokutenO|超级伙伴2-世界锦标赛/得点王2-真实对抗足球(NGM-061)(NGH-061)
ssideki3.zip|SuperSidekicks3-TheNextGlory/TokutenOu3-ei|超级伙伴3-荣耀之战/得点王3-荣耀之挑战
ssideki4.zip|TheUltimate11-TheSNKFootballChampionship/Toku|终极十一人-SNK足球锦标赛/得点王-炎之自由人
ssmissin.zip|S.S.Mission|S.S.任务-特命编
ssozumo.zip|SyusseOozumou(Japan)|出世大相扑(日版)
ssriders.zip|SunsetRiders(4Playersver.EAC)|落日骑士(4人版版本EAC)
ssridersabd.zip|SunsetRiders(2Playersver.ABD)|落日骑士(2人版版本ABD)
ssridersadd.zip|SunsetRiders(4Playersver.ADD)|落日骑士(4人版版本ADD)
ssriderseaa.zip|SunsetRiders(4Playersver.EAA)|落日骑士(4人版版本EAA)
ssridersebc.zip|SunsetRiders(2Playersver.EBC)|落日骑士(2人版版本EBC)
ssridersebd.zip|SunsetRiders(2Playersver.EBD)|落日骑士(2人版版本EBD)
ssridersjac.zip|SunsetRiders(4Playersver.JAC)|落日骑士(4人版版本JAC)
ssridersjad.zip|SunsetRiders(4Playersver.JAD)|落日骑士(4人版版本JAD)
ssridersjbd.zip|SunsetRiders(2Playersver.JBD)|落日骑士(2人版版本JBD)
ssridersuab.zip|SunsetRiders(4Playersver.UAB)|落日骑士(4人版版本UAB)
ssridersuac.zip|SunsetRiders(4Playersver.UAC)|落日骑士(4人版版本UAC)
ssridersubc.zip|SunsetRiders(2Playersver.UBC)|落日骑士(2人版版本UBC)
ssridersuda.zip|SunsetRiders(4Playersver.UDA)|落日骑士(4人版版本UDA)
ssrj.zip|SuperSpeedRaceJunior(Japan)|超速小赛车(日版)
sstarcrs.zip|SuperStarCrest|超级明星领域
sstingry.zip|SuperStingray(Japan)|超级霹雳战车(日版)
sstriker.zip|SorcerStriker|魔法攻击者
stagger1.zip|StaggerI(Japan)|双翼战机I(日版)
stakwin.zip|StakesWinner/StakesWinner-GIkinzenseihaenom|赛马冠军-GI完全制霸之道
stakwin2.zip|StakesWinner2|赛马冠军2
starfght.zip|StarFighter|星空战机
starfgmc.zip|StarFighter(MoonCrestabootleg)|星空战机(月球登陆艇A版)
starfigh.zip|StarFighter(v1)|星际战机(v1)
starjack.zip|StarJacker(Sega)|星际母舰(Sega)
starjacks.zip|StarJacker(Stern)|星际母舰(Stern)
stdragon.zip|SaintDragon(set1)|天圣龙(第1套)
stdragona.zip|SaintDragon(set2)|天圣龙(第2套)
stdragonb.zip|SaintDragon(bootleg)|天圣龙(A版)
stera.zip|Steraranger(MoonCrestabootleg)|太空卫士(月球登陆艇A版)
stg.zip|StrikeGunnerS.T.G|重装战机S.T.G
stinger.zip|Stinger|毒刺战机
stinger2.zip|Stinger(prototype?)|毒刺战机(工程版?)
stlforce.zip|SteelForce|钢铁力量
strahl.zip|KoutetsuYousaiStrahl(Japanset1)|钢铁要塞(日版第1套)
strahla.zip|KoutetsuYousaiStrahl(Japanset2)|钢铁要塞(日版第2套)
stratgys.zip|StrategyX(Stern)|战略X(Stern)
stratgyx.zip|StrategyX|战略X
stratof.zip|Raiga-StratoFighter(US)|雷牙(美版)
stratvox.zip|Stratovox|太空防卫
stratvoxb.zip|Stratovox(bootleg)|太空防卫(A版)
streakng.zip|Streaking(set1)|裸奔(第1套)
streaknga.zip|Streaking(set2)|裸奔(第2套)
streetsm.zip|StreetSmart(USversion2)|街头争霸(美版版本2)
streetsm1.zip|StreetSmart(USversion1)|街头争霸(美版版本1)
streetsmj.zip|StreetSmart(Japanversion1)|街头争霸(日版版本1)
streetsmw.zip|StreetSmart(Worldversion1)|街头争霸(世界版版本1)
strfbomb.zip|StrafeBomb|机枪炸弹
strhoop.zip|StreetHoop/StreetSlam/DunkDream(DEM-004)(DEH-|街头篮球(DEM-004)(DEH-004)
strider.zip|Strider(USset1)|出击飞龙(美版第1套)
striderj.zip|StriderHiryu(Japan)|出击飞龙(日版)
striderjr.zip|StriderHiryu(JapanResaleVer.)|出击飞龙(日版重发售版)
striderua.zip|Strider(USset2)|出击飞龙(美版第2套)
strideruc.zip|Strider(US-StreetFighterIIconversion)|出击飞龙(美版-街霸II转换版)
strongx.zip|StrongX|坚固X
sub.zip|Submarine(Sigma)|潜水艇(Sigma)
sucasino.zip|SuperCasino|超级赌场
sunaq.zip|SunAQuiz6000Academy(940620-6)|SunA问答6000学院(940620-6)
supbtime.zip|SuperBurgerTime(World-set1)|超级汉堡时代(世界版-第1套)
supbtimea.zip|SuperBurgerTime(World-set2)|超级汉堡时代(世界版-第2套)
supbtimej.zip|SuperBurgerTime(Japan)|超级汉堡时代(日版)
superbar.zip|SuperBar|超级砖块性感版
superbon.zip|AgentSuperBond(scobrahardware)|超级庞德(Scobra硬件)
superg.zip|SuperGalaxians(galaxiajhack)|超级小蜜蜂(小蜜蜂修改版)
superman.zip|Superman(World)|超人(世界版)
supermanj.zip|Superman(Japan)|超人(日版)
supermanu.zip|Superman(US)|超人(美版)
superspy.zip|TheSuperSpy(NGM-011)(NGH-011)|谍报飞龙(NGM-011)(NGH-011)
superx.zip|Super-X(NTC)|超级X战机(NTC)
superxm.zip|Super-X(Mitchell)|超级X战机(Mitchell)
supmodel.zip|SuperModel|超级模特
suprglob.zip|SuperGlob|超级水滴
suprheli.zip|SuperHeli(SuperCobrabootleg)|超级直升机(超级眼镜蛇A版)
suprleag.zip|SuperLeague(FD1094317-0045)|超级小联盟
suprloco.zip|SuperLocomotive(Rev.A)|超级蒸气火车(修正版A)
suprlocoo.zip|SuperLocomotive|超级蒸气火车
suprmous.zip|SuperMouse|超级鼠小弟
suprridr.zip|SuperRider|超级车手
suprtrio.zip|SuperTrio|超级三重奏
suratk.zip|SurpriseAttack(Worldver.K)|奇袭-星战大怒吼(世界版版本K)
suratka.zip|SurpriseAttack(Asiaver.L)|奇袭-星战大怒吼(亚洲版版本L)
survarts.zip|SurvivalArts(World)|死亡艺术(世界版)
survartsj.zip|SurvivalArts(Japan)|死亡艺术(日版)
survartsu.zip|SurvivalArts(USA)|死亡艺术(美版)
svc.zip|SNKvs.Capcom-SVCChaos(NGM-2690)(NGH-2690)|拳皇对街霸-混沌(NGM-2690)(NGH-2690)
svcboot.zip|SNKvs.Capcom-SVCChaos(bootleg)|拳皇对街霸-混沌(A版)
svcplus.zip|SNKvs.Capcom-SVCChaosPlus(bootlegset1)|拳皇对街霸-混沌加强版(A版第1套)
svcplusa.zip|SNKvs.Capcom-SVCChaosPlus(bootlegset2)|拳皇对街霸-混沌加强版(A版第2套)
svcsplus.zip|SNKvs.Capcom-SVCChaosSuperPlus(bootleg)|拳皇对街霸-混沌超级加强版(A版)
svolley.zip|SuperVolleyball(Japan)|超级排球(日版)
svolleyk.zip|SuperVolleyball(Korea)|超级排球(韩版)
svolleyu.zip|SuperVolleyball(US)|超级排球(美版)
svolly91.zip|SuperVolley'91(Japan)|超级排球'91(日版)
swarm.zip|Swarm(bootleg?)|蜂群(A版?)
swat.zip|SWAT(315-5048)|超能战警(315-5048)
swatpolc.zip|SWATPolice|特勤警察
swimmer.zip|Swimmer(set1)|游泳高手(第1套)
sxyreac2.zip|PachinkoSexyReaction2(Japan)|性感弹珠机2(日版)
sxyreact.zip|PachinkoSexyReaction(Japan)|性感弹珠机(日版)
syvalion.zip|Syvalion(Japan)|天圣龙(日版)
syvalionp.zip|Syvalion(World-prototype)|天圣龙(世界版-工程版)
tactcian.zip|Tactician(set1)|太空战术家(第1套)
tactcian2.zip|Tactician(set2)|太空战术家(第2套)
tail2nos.zip|TailtoNose-GreatChampionship|超级方程式-非凡锦标赛
tangtang.zip|TangTang(ver.0526-26/05/2000)|堂堂(版本0526-26/05/2000)
tankfrce.zip|TankForce(US-2Players)|坦克部队(美版-2人版)
tankfrce4.zip|TankForce(US-4Players)|坦克部队(美版-4人版)
tankfrcej.zip|TankForce(Japan)|坦克部队(日版)
taotaido.zip|TaoTaido(set1)|苏婆诃格斗-大鸥体道(第1套)
taotaidoa.zip|TaoTaido(set2)|苏婆诃格斗-大鸥体道(第2套)
tazmani2.zip|Tazz-Mania(set2)|疯狂塔斯(第2套)
tazmania.zip|Tazz-Mania(set1)|疯狂塔斯(第1套)
tazzmang.zip|Tazz-Mania(bootlegonGalaxianhardware)|疯狂塔斯(小蜜蜂硬件A版)
tazzmang2.zip|Tazz-Mania(bootlegonGalaxianhardwarewithStarfiel|疯狂塔斯(含Starfield小蜜蜂硬件A版)
tbowl.zip|TecmoBowl(World-set1)|Tecmo美式足球季后赛(世界版-第1套)
tbowla.zip|TecmoBowl(World-set2)|Tecmo美式足球季后赛(世界版-第2套)
tbowlj.zip|TecmoBowl(Japan)|Tecmo美式足球季后赛(日版)
tbowlp.zip|TecmoBowl(World-prototype?)|Tecmo美式足球季后赛(世界版-工程版?)
tdfever.zip|TouchDownFever(US)|狂热触地得分(美版)
tdfeverj.zip|TouchDownFever(Japan)|狂热触地得分(日版)
tdpgal.zip|TripleDrawPoker|三合扑克
tdragon.zip|ThunderDragon(9thJan.1992)|雷龙(9thJan.1992)
tdragon2.zip|ThunderDragon2(9thNov.1993)|雷龙2(9thNov.1993)
tdragon2a.zip|ThunderDragon2(1stOct.1993)|雷龙2(1stOct.1993)
tdragon3h.zip|ThunderDragon3(bootlegofThunderDragon2)|雷龙3(雷龙3的A版)
tdragonb.zip|ThunderDragon(bootleg)|雷龙(A版)
tekipaki.zip|TekiPaki|方块洗脑游戏
tekipakit.zip|TekiPaki(locationtest)|方块洗脑游戏(定位测试版)
tengai.zip|Tengai(world)|战国之刃(世界版)
tengaij.zip|Tengai0SengokuBlade-sengokuaceepisodeII|战国之刃
terracre.zip|TerraCresta(YM3526set1)|神鹰战机(YM3526第1套)
terracrea.zip|TerraCresta(YM3526set3)|神鹰战机(YM3526第3套)
terracren.zip|TerraCresta(YM2203)|神鹰战机(YM2203)
terracreo.zip|TerraCresta(YM3526set2)|神鹰战机(YM3526第2套)
terraf.zip|TerraForce|神鹰力量
terrafb.zip|TerraForce(Japan-bootlegset2)|神鹰力量(日版-A版第2套)
terrafj.zip|TerraForce(Japan)|神鹰力量(日版)
terrafjb.zip|TerraForce(Japan-bootlegwithadditionalZ80)|神鹰力量(日版-A版含Z80)
terrafu.zip|TerraForce(US)|神鹰力量(美版)
tetris.zip|Tetris(set4-Japan-System16A-FD1094317-0093)|俄罗斯方块(第4套-日版-系统16A-FD1094317-0093)
tetris1.zip|Tetris(set1-Japan-System16B-FD1094317-0091)|俄罗斯方块(第1套-日版-系统16B-FD1094317-0091)
tetris1d.zip|Tetris(set1-Japan-System16B-FD1094317-0091decr|俄罗斯方块(第1套-日版-系统16B-FD1094317-0091解密版)
tetris2.zip|Tetris(set2-Japan-System16B-FD1094317-0092)|俄罗斯方块(第2套-日版-系统16B-FD1094317-0092)
tetris2d.zip|Tetris(set2-Japan-System16B-FD1094317-0092decr|俄罗斯方块(第2套-日版-系统16B-FD1094317-0092解密版)
tetris3.zip|Tetris(set3-Japan-System16A-FD1094317-0093a)|俄罗斯方块(第3套-日版-系统16A-FD1094317-0093a)
tetris3d.zip|Tetris(set3-Japan-System16A-FD1094317-0093adec|俄罗斯方块(第3套-日版-系统16A-FD1094317-0093a解密版)
tetrisbl.zip|Tetris(bootleg)|俄罗斯方块(A版)
tetrisd.zip|Tetris(set4-Japan-System16A-FD1094317-0093decr|俄罗斯方块(第4套-日版-系统16A-FD1094317-0093解密版)
tetrisp2.zip|TetrisPlus2(World)|俄罗斯方块加强版2(世界版)
tetrisp2j.zip|TetrisPlus2(Japan-V2.2)|俄罗斯方块加强版2(日版-V2.2)
tetrisp2ja.zip|TetrisPlus2(Japan-V2.1)|俄罗斯方块加强版2(日版-V2.1)
tetrisse.zip|Tetris(Japan-SystemE)|俄罗斯方块(日版-系统E)
tetrist.zip|Tetris(Japan-B-System-YM2610)|俄罗斯方块(日版-B-系统-YM2610)
tetrista.zip|Tetris(Japan-B-System-YM2203)|俄罗斯方块(日版-B-系统-YM2203)
tetristh.zip|Tetris(Japan-TaitoH-System)|俄罗斯方块(日版-TaitoH-System)
tetrsark.zip|Tetris(D.R.Korea)|俄罗斯方块(D.R.韩版)
tharrier.zip|TaskForceHarrier|鹞鹰战机
tharrieru.zip|TaskForceHarrier(US?)|鹞鹰战机(美版?)
thedeep.zip|TheDeep(Japan)|深海追踪(日版)
theglob.zip|TheGlob|水滴
theglob2.zip|TheGlob(earlier)|水滴(早期版)
theglob3.zip|TheGlob(set3)|水滴(第3套)
theglobp.zip|TheGlob(Pac-Manhardware)|水滴(吃豆小精灵硬件)
thehustl.zip|TheHustler(Japan-programcodeM)|江湖浪子(日版-程序代码M)
thehustlj.zip|TheHustler(Japan-programcodeJ)|江湖浪子(日版-程序代码J)
thepit.zip|ThePit|地底寻宝
thepitj.zip|ThePit(Japan)|地底寻宝(日版)
thepitu1.zip|ThePit(USset1)|地底寻宝(美版第1套)
thepitu2.zip|ThePit(USset2)|地底寻宝(美版第2套)
theroes.zip|ThunderHeroes|霹雳英雄
thetogyu.zip|TheTogyu(315-5065-Japan)|斗牛(315-5065-日版)
thndrx2.zip|ThunderCrossII(World)|雷霆战机II(世界版)
thndrx2a.zip|ThunderCrossII(Asia)|雷霆战机II(亚洲版)
thndrx2j.zip|ThunderCrossII(Japan)|雷霆战机II(日版)
thoop.zip|ThunderHoop(Ver.1)|闪电投篮(版本1)
thoop2.zip|THStrikesBack(NonNorthAmerica-Version1.0-Check|钍行者(非北美版-版本1.0-检验和020E0867)
thoop2a.zip|THStrikesBack(NonNorthAmerica-Version1.0-Check|钍行者(非北美版-版本1.0-检验和020EB356)
thunderl.zip|Thunder&Lightning|雷与电砖块物语
thunderx.zip|ThunderCross(set1)|雷霆战机(第1套)
thunderxa.zip|ThunderCross(set2)|雷霆战机(第2套)
thunderxb.zip|ThunderCross(set3)|雷霆战机(第3套)
thunderxj.zip|ThunderCross(Japan)|雷霆战机(日版)
thundfox.zip|ThunderFox(World)|雷狐行动(世界版)
thundfoxj.zip|ThunderFox(Japan)|雷狐行动(日版)
thundfoxu.zip|ThunderFox(US)|雷狐行动(美版)
tigerh.zip|TigerHeli(US)|老虎直升机(美版)
tigerhb1.zip|TigerHeli(bootleg-set1)|老虎直升机(A版第1套)
tigerhb2.zip|TigerHeli(bootleg-set2)|老虎直升机(A版第2套)
tigerhb3.zip|TigerHeli(bootleg-set3)|老虎直升机(A版第3套)
tigeroad.zip|TigerRoad(US)|虎之道(美版)
tigeroadb.zip|TigerRoad(USbootleg-set1)|虎之道(美版A版-第1套)
tigeroadb2.zip|TigerRoad(USbootleg-set2)|虎之道(美版A版-第2套)
tigeroadu.zip|TigerRoad(US-Romstarlicense)|虎之道(美版-Romstar授权)
timefgtr.zip|TimeFighter(TimePilotconversiononGalaxianhardwa|时空战机(小蜜蜂硬件的时空飞行员转换版)
timelimt.zip|TimeLimit|刻不容缓
timeplt.zip|TimePilot|时空飞行员
timeplta.zip|TimePilot(Atari)|时空飞行员(Atari)
timepltc.zip|TimePilot(Centuri)|时空飞行员(Centuri)
timescan.zip|TimeScanner(set2-System16B)|时空弹珠台(第2套-系统16B)
timescan1.zip|TimeScanner(set1-System16A-FD1089B317-0024)|时空弹珠台(第1套-系统16A-FD1089B317-0024)
timesold.zip|TimeSoldiers(USRev3)|时空战士(美版修正版3)
timesold1.zip|TimeSoldiers(USRev1)|时空战士(美版修正版1)
timesupd.zip|Time'sUpDemo|到时间了演示版
tiptop.zip|TipTop|登顶
tknight.zip|TecmoKnight|Tecmo骑士
tmht.zip|TeenageMutantHeroTurtles(UK4Players-versionF)|忍者神龟(英国版4人版-版本F)
tmht22pe.zip|TeenageMutantHeroTurtles-TurtlesinTime(2Playe|忍者神龟-神龟战场(2人版版本EBA)
tmht24pe.zip|TeenageMutantHeroTurtles-TurtlesinTime(4Playe|忍者神龟-神龟战场(版本EAA)
tmht2p.zip|TeenageMutantHeroTurtles(UK2Players-versionU)|忍者神龟(英国版2人版-版本U)
